state_or_region,sector,year,price
Alabama,commercial,2001,6.549166666666667
Alabama,commercial,2002,6.635833333333333
Alabama,commercial,2003,6.855
Alabama,commercial,2004,7.118333333333333
Alabama,commercial,2005,7.475833333333334
Alabama,commercial,2006,8.133333333333333
Alabama,commercial,2007,8.685
Alabama,commercial,2008,9.828333333333333
Alabama,commercial,2009,10.0475
Alabama,commercial,2010,10.176666666666668
Alabama,commercial,2011,10.465833333333334
Alabama,commercial,2012,10.628333333333334
Alabama,commercial,2013,10.501666666666667
Alabama,commercial,2014,10.783333333333333
Alabama,commercial,2015,10.815833333333332
Alabama,commercial,2016,11.114166666666668
Alabama,commercial,2017,11.6
Alabama,commercial,2018,11.2475
Alabama,commercial,2019,11.508333333333333
Alabama,commercial,2020,11.540833333333333
Alabama,commercial,2021,11.823333333333332
Alabama,commercial,2022,13.097500000000002
Alabama,commercial,2023,13.174999999999999
Alabama,commercial,2024,13.656666666666666
Alabama,commercial,2025,14.525
Alabama,commercial,2026,15.1
Alabama,industrial,2001,3.7933333333333334
Alabama,industrial,2002,3.8074999999999997
Alabama,industrial,2003,3.981666666666667
Alabama,industrial,2004,4.144166666666666
Alabama,industrial,2005,4.515
Alabama,industrial,2006,4.880833333333333
Alabama,industrial,2007,5.26
Alabama,industrial,2008,6.134166666666666
Alabama,industrial,2009,5.970833333333334
Alabama,industrial,2010,5.995
Alabama,industrial,2011,6.2275
Alabama,industrial,2012,6.2175
Alabama,industrial,2013,5.933333333333334
Alabama,industrial,2014,6.141666666666667
Alabama,industrial,2015,6.0125
Alabama,industrial,2016,6.035
Alabama,industrial,2017,6.153333333333333
Alabama,industrial,2018,6.0058333333333325
Alabama,industrial,2019,5.9425
Alabama,industrial,2020,5.878333333333334
Alabama,industrial,2021,6.315
Alabama,industrial,2022,7.673333333333333
Alabama,industrial,2023,7.099166666666666
Alabama,industrial,2024,7.25
Alabama,industrial,2025,7.723333333333334
Alabama,industrial,2026,8.29
Alaska,commercial,2001,10.294166666666667
Alaska,commercial,2002,10.145
Alaska,commercial,2003,10.488333333333333
Alaska,commercial,2004,10.995
Alaska,commercial,2005,11.5675
Alaska,commercial,2006,11.939166666666667
Alaska,commercial,2007,12.191666666666668
Alaska,commercial,2008,13.674999999999999
Alaska,commercial,2009,14.475833333333334
Alaska,commercial,2010,13.959166666666667
Alaska,commercial,2011,15.120833333333332
Alaska,commercial,2012,14.93
Alaska,commercial,2013,15.585833333333333
Alaska,commercial,2014,17.1225
Alaska,commercial,2015,17.453333333333333
Alaska,commercial,2016,17.569166666666668
Alaska,commercial,2017,18.915833333333335
Alaska,commercial,2018,18.579166666666666
Alaska,commercial,2019,19.81
Alaska,commercial,2020,19.603333333333335
Alaska,commercial,2021,19.628333333333334
Alaska,commercial,2022,20.076666666666668
Alaska,commercial,2023,20.88
Alaska,commercial,2024,21.584166666666665
Alaska,commercial,2025,22.338333333333335
Alaska,commercial,2026,21.69
Alaska,industrial,2001,7.6258333333333335
Alaska,industrial,2002,7.6499999999999995
Alaska,industrial,2003,7.870833333333334
Alaska,industrial,2004,8.331666666666667
Alaska,industrial,2005,9.296666666666667
Alaska,industrial,2006,11.540833333333333
Alaska,industrial,2007,12.631666666666666
Alaska,industrial,2008,14.179166666666667
Alaska,industrial,2009,13.145000000000001
Alaska,industrial,2010,14.155833333333334
Alaska,industrial,2011,15.695
Alaska,industrial,2012,16.813333333333333
Alaska,industrial,2013,15.853333333333333
Alaska,industrial,2014,15.680833333333332
Alaska,industrial,2015,14.540833333333333
Alaska,industrial,2016,15.223333333333334
Alaska,industrial,2017,16.335
Alaska,industrial,2018,17.120833333333334
Alaska,industrial,2019,16.9675
Alaska,industrial,2020,15.870833333333332
Alaska,industrial,2021,16.853333333333335
Alaska,industrial,2022,18.45
Alaska,industrial,2023,18.724999999999998
Alaska,industrial,2024,19.31416666666667
Alaska,industrial,2025,20.041666666666668
Alaska,industrial,2026,20.45
Arizona,commercial,2001,7.3133333333333335
Arizona,commercial,2002,7.228333333333333
Arizona,commercial,2003,7.0375000000000005
Arizona,commercial,2004,7.245
Arizona,commercial,2005,7.343333333333334
Arizona,commercial,2006,7.945
Arizona,commercial,2007,8.203333333333333
Arizona,commercial,2008,8.858333333333333
Arizona,commercial,2009,9.273333333333333
Arizona,commercial,2010,9.374166666666666
Arizona,commercial,2011,9.420833333333333
Arizona,commercial,2012,9.450833333333334
Arizona,commercial,2013,9.776666666666667
Arizona,commercial,2014,10.050833333333333
Arizona,commercial,2015,10.295
Arizona,commercial,2016,10.326666666666666
Arizona,commercial,2017,10.411666666666667
